# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 19214
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 19214
DATA ascii
0.04469356 -0.009528049 -0.0128769
-0.01857708 0.07528368 -0.01872489
0.01288496 -0.005710253 -0.04171856
-0.04649886 0.001609331 -0.01115471
-0.01171248 -0.04942623 -0.03265203
-0.03299639 0.03770972 -0.0202961
0.02235408 0.0130536 -0.0314661
0.05309692 -0.02670686 -0.004628639
0.005869575 -0.02942026 -0.03565808
0.001211553 -0.01617579 -0.05293306
0.03981298 -0.0337293 -0.01483993
-0.02048017 0.02103888 -0.03437818
-0.01838122 0.05816242 -0.02735243
0.04186362 -0.06702648 -0.01563022
-0.01772455 0.0384497 -0.03520004
-0.007188783 -0.01268529 -0.04863771
0.02841391 0.05542649 -0.01763701
-0.01163365 -0.0003836711 -0.04877978
0.04841995 -0.0167472 -0.01040236
-0.01887631 0.06602947 -0.02678636
-0.01394101 -0.01689527 -0.02946624
0.04272954 -0.01101382 -0.01391619
